local url;name;min price;max price;rating;latitude;longitude;category;time duration
/Hotel_Review-g303506-d305665-Reviews-Novotel_Rio_de_Janeiro_Leme-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Novotel Rio de Janeiro Leme;416.0;816.0;4.0;-22.962109;-43.16852;hotels;0.0
/Hotel_Review-g303506-d17347687-Reviews-Hotel_Nacional_Rio_de_Janeiro-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Hotel Nacional Rio de Janeiro;252.0;815.0;4.0;-22.998327;-43.256596;hotels;0.0
/Hotel_Review-g303506-d1148975-Reviews-Casa_Amarelo_Luxury_Guesthouse_by_Robert_le_Heros-Rio_de_Janeiro_State_of_Rio_de_Janei.html;Casa Amarelo by Robert le Heros;390.0;801.0;4.5;-22.91635;-43.183468;hotels;0.0
/Restaurant_Review-g303506-d10778559-Reviews-Gallery_Lounge-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Gallery Lounge;40.0;800.0;4.5;-23.007273;-43.314762;restaurant;1.0
/Restaurant_Review-g303506-d10729567-Reviews-Praia_Skol-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Praia Skol;20.0;80.0;4.0;-22.974106;-43.186203;restaurant;1.0
/Restaurant_Review-g303506-d11864104-Reviews-Boteco_do_Amaral-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Boteco do Amaral;20.0;80.0;3.5;-23.001383;-43.395866;restaurant;1.0
/Restaurant_Review-g303506-d4762061-Reviews-BISTRO_PARIS_6_RIO_24H-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Paris 6;30.0;80.0;4.0;-23.010197;-43.307858;restaurant;1.0
/Restaurant_Review-g303506-d3192600-Reviews-Org_Bistro-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Org Bistro;27.0;80.0;4.5;-23.013428;-43.30568;restaurant;1.0
/Restaurant_Review-g303506-d4065772-Reviews-Epifania_Oriental-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Epifania;30.0;80.0;4.0;-22.950575;-43.18478;restaurant;1.0
/Restaurant_Review-g303506-d1062212-Reviews-Bar_Luiz-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Bar Luiz;27.0;80.0;4.0;-22.906618;-43.180206;restaurant;1.0
/Restaurant_Review-g303506-d784502-Reviews-Leme_Light-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Leme Light;53.0;80.0;4.0;-22.963964;-43.172665;restaurant;1.0
/Restaurant_Review-g303506-d3855704-Reviews-Bangalo_Restaurante-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Bangalo Restaurante;30.0;80.0;4.0;-23.013157;-43.316666;restaurant;1.0
/Restaurant_Review-g303506-d7112737-Reviews-Gurume_Fashion_Mall-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Gurume Fashion Mall;40.0;80.0;4.5;-22.996809;-43.26003;restaurant;1.0
/Restaurant_Review-g303506-d12674494-Reviews-Paris_6-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Paris 6;30.0;80.0;3.5;-22.983536;-43.211357;restaurant;1.0
/Restaurant_Review-g303506-d6008611-Reviews-Capitao_Jacques_Restaurante-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Capitao Jacques Restaurante;20.0;80.0;4.0;-22.970833;-43.18383;restaurant;1.0
/Restaurant_Review-g303506-d7615590-Reviews-Vezpa_Pizzas_Olegario-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Vezpa Pizzas;11.0;80.0;3.5;-23.012915;-43.30533;restaurant;1.0
/Restaurant_Review-g303506-d1504850-Reviews-Ten_Kai-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Ten Kai;53.0;80.0;4.0;-22.90996;-43.17789;restaurant;1.0
/Restaurant_Review-g303506-d6969083-Reviews-Geliamo-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Geliamo;5.0;80.0;4.5;-22.972427;-43.186394;restaurant;1.0
/Restaurant_Review-g303506-d4527211-Reviews-Home_Pizza_Tijuca-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Home Pizza Tijuca;15.0;80.0;3.0;-22.93065;-43.23766;restaurant;1.0
/Restaurant_Review-g303506-d10466843-Reviews-Contemporaneo_Lapa-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Contemporaneo Lapa;10.0;80.0;4.5;-22.912327;-43.183163;restaurant;1.0
/Restaurant_Review-g303506-d13748252-Reviews-Donninha-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Donninha;30.0;80.0;3.5;-22.92452;-43.23483;restaurant;1.0
/Restaurant_Review-g303506-d12820935-Reviews-Cardamomo_Saude-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Cardamomo Saude;15.0;80.0;4.5;-22.94248;-43.19146;restaurant;1.0
/Restaurant_Review-g303506-d12174224-Reviews-Belga_Brasserie-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Belga Brasserie;25.0;80.0;4.5;-22.901232;-43.18286;restaurant;1.0
/Restaurant_Review-g303506-d11666567-Reviews-Maccherone-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Maccherone Restaurante (Barra da Tijuca);40.0;80.0;4.5;-23.009771;-43.357594;restaurant;1.0
/Restaurant_Review-g303506-d12546415-Reviews-Divo_Quiosque-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Divo Quiosque;35.0;80.0;4.0;-22.96281;-43.166725;restaurant;1.0
/Restaurant_Review-g303506-d12428659-Reviews-Barraca_da_Miriam_53-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Barraca da Miriam 53;17.0;80.0;4.5;-22.986956;-43.200245;restaurant;1.0
/Restaurant_Review-g303506-d12150819-Reviews-Garfo-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Garfo;30.0;80.0;4.5;-23.00086;-43.34248;restaurant;1.0
/Hotel_Review-g303506-d305448-Reviews-Rio_Othon_Palace_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Rio Othon Palace Hotel;394.0;799.0;4.5;-22.97747;-43.18911;hotels;0.0
/Restaurant_Review-g303506-d2479361-Reviews-Garden_Restaurante-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Garden Restaurante;239.0;797.0;4.0;-22.983845;-43.21444;restaurant;1.0
/Hotel_Review-g303506-d9595813-Reviews-YOO2_Rio_de_Janeiro-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;YOO2 Rio de Janeiro;457.0;796.0;4.5;-22.942846;-43.181515;hotels;0.0
/Hotel_Review-g303506-d7178585-Reviews-Hilton_Barra_Rio_de_Janeiro-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Hilton Barra Rio de Janeiro;267.0;795.0;4.5;-22.97227;-43.374958;hotels;0.0
/Hotel_Review-g303506-d2553630-Reviews-Next-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Next Residence Service;383.0;791.0;3.0;-23.009842;-43.3338;hotels;0.0
/Hotel_Review-g303506-d13411949-Reviews-Windsor_California_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Windsor California Hotel;432.0;790.0;4.5;-22.97245;-43.18585;hotels;0.0
/Restaurant_Review-g303506-d1058579-Reviews-Bar_do_Alemao-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Bar do Alemao;53.0;79.0;4.5;-22.974009;-43.2273;restaurant;1.0
/Restaurant_Review-g303506-d795332-Reviews-Pizzaria_Love-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Pizzaria Love;53.0;79.0;4.0;-22.9655;-43.17714;restaurant;1.0
/Restaurant_Review-g303506-d13157322-Reviews-Birra_Gastronomia-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Birra Gastronomia;6.0;79.0;4.5;-22.90185;-43.28033;restaurant;1.0
/Restaurant_Review-g303506-d17815854-Reviews-Benvenuto_Ristorante_Cucina_Calabrese-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Benvenuto Ristorante Cucina Calabrese;49.0;79.0;4.0;-22.98627;-43.22834;restaurant;1.0
/Restaurant_Review-g303506-d10219923-Reviews-ALOHA_Cozinha_Saudavel_e_Bar-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;ALOHA - Cozinha Saudavel e Bar;35.0;79.0;3.5;-23.013092;-43.316444;restaurant;1.0
/Hotel_Review-g303506-d305872-Reviews-Flat_Barrabella-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Flat Barrabella;311.0;788.0;4.0;-23.009909;-43.345142;hotels;0.0
/Restaurant_Review-g303506-d919531-Reviews-Opium-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Opium: FECHADO;197.0;786.0;4.0;-22.985588;-43.200836;restaurant;1.0
/Hotel_Review-g303506-d304329-Reviews-Pestana_Rio_Atlantica-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Pestana Rio Atlantica;344.0;786.0;4.0;-22.975088;-43.187828;hotels;0.0
/Restaurant_Review-g303506-d5347550-Reviews-Saloon_79-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Saloon 79;26.0;78.0;4.0;-22.958553;-43.19462;restaurant;1.0
/Hotel_Review-g303506-d305737-Reviews-Mar_Ipanema_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mar Ipanema Hotel;246.0;779.0;4.0;-22.983957;-43.211227;hotels;0.0
/Hotel_Review-g303506-d301845-Reviews-Wyndham_Rio_de_Janeiro_Barra-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Wyndham Rio de Janeiro Barra;295.0;777.0;3.5;-23.010555;-43.327087;hotels;0.0
/Hotel_Review-g303506-d12902246-Reviews-Apart_Hotel_Rio_Stay-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Apart Hotel Rio Stay;150.0;772.0;3.0;-22.975607;-43.414726;hotels;0.0
/Hotel_Review-g303506-d305730-Reviews-Grand_Mercure_Rio_de_Janeiro_Copacabana-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Grand Mercure Rio de Janeiro Copacabana;528.0;769.0;4.0;-22.981407;-43.190205;hotels;0.0
/Hotel_Review-g303506-d1596653-Reviews-Arena_Copacabana_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Arena Copacabana Hotel;388.0;766.0;4.5;-22.96916;-43.181873;hotels;0.0
/Hotel_Review-g303506-d3914392-Reviews-Casa_Geranio-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Casa Geranio;516.0;766.0;5.0;-22.916992;-43.181915;hotels;0.0
/Hotel_Review-g303506-d8447818-Reviews-Windsor_Marapendi_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Windsor Marapendi Hotel;411.0;763.0;4.5;-23.009546;-43.351635;hotels;0.0
/Hotel_Review-g303506-d562449-Reviews-Mc_Flats_The_Claridge-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mc Flats The Claridge;459.0;763.0;3.5;-22.983849;-43.227028;hotels;0.0
/Hotel_Review-g303506-d587348-Reviews-Windsor_Barra_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Windsor Barra;407.0;761.0;4.5;-23.01139;-43.321953;hotels;0.0
/Restaurant_Review-g303506-d10697890-Reviews-Cia_do_Pao_RJ-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Cia do Pao RJ;25.0;76.0;3.5;-22.98104;-43.40976;restaurant;1.0
/Hotel_Review-g303506-d305431-Reviews-Windsor_Leme_Hotel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Windsor Leme Hotel;370.0;750.0;4.0;-22.963129;-43.16981;hotels;0.0
/Hotel_Review-g303506-d4573345-Reviews-Hotel_Fazenda_Canto_da_Serra-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Hotel Fazenda Canto da Serra;425.0;750.0;3.5;-22.894867;-42.668423;hotels;0.0
/Restaurant_Review-g303506-d9695241-Reviews-Fazenda_Culinaria_Restaurant-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Restaurante Fazenda Culinaria;40.0;75.0;4.5;-22.893276;-43.179153;restaurant;1.0
/Hotel_Review-g303506-d638637-Reviews-Mango_Tree_Ipanema-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mango Tree Ipanema;78.0;744.0;4.5;-22.985312;-43.202393;hotels;0.0
/Hotel_Review-g303506-d12959570-Reviews-Copa_Hostel-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Copa Hostel;163.0;744.0;4.0;-22979;-43.19071;hotels;0.0
/Restaurant_Review-g303506-d8841004-Reviews-Mamma_Jamma_CasaShopping-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mamma Jamma CasaShopping;56.0;74.0;4.5;-22.992867;-43.36218;restaurant;1.0
/Restaurant_Review-g303506-d14057091-Reviews-Mamma_Jamma-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mamma Jamma;30.0;74.0;4.0;-22.954445;-43.178085;restaurant;1.0
/Restaurant_Review-g303506-d12498036-Reviews-Mamma_Jamma-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Mamma Jamma Recreio Shopping;36.0;74.0;4.5;-23.020712;-43.48938;restaurant;1.0
/Restaurant_Review-g303506-d1102243-Reviews-Galani-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html;Galani Restaurant;53.0;73.0;4.5;-22.986319;-43.207348;restaurant;1.0
